pair_id	rows	cols
193273528327	0	2
193273528326	473	2
193273528325	36	2
193273528324	386	2
193273528323	23	2
193273528322	88	2
193273528321	22	2
191126044711	0	2
191126044710	0	2
191126044709	1638	2
191126044708	44	2
191126044707	0	2
191126044706	522	2
191126044705	1153	2
191126044704	0	2
191126044703	0	2
191126044702	0	2
191126044701	0	2
191126044700	0	2
191126044699	0	2
191126044698	0	2
191126044697	15	2
191126044696	0	2
191126044695	0	2
191126044694	0	2
191126044693	0	2
191126044692	169	2
191126044691	0	2
191126044690	0	2
191126044689	0	2
191126044688	1059	2
191126044687	0	2
191126044686	0	2
191126044685	0	2
191126044684	0	2
191126044683	0	2
191126044682	19	2
191126044681	0	2
191126044680	16	2
191126044679	0	2
191126044678	0	2
191126044677	0	2
191126044676	0	2
191126044675	0	2
191126044674	0	2
191126044673	0	2
188978561064	317	2
188978561063	87	2
188978561062	18	2
188978561061	15	2
188978561060	588	2
188978561059	0	2
188978561058	0	2
188978561057	27	2
188978561056	24	2
188978561055	0	2
188978561054	17	2
188978561053	19	2
188978561052	2998	2
188978561051	0	2
188978561050	16	2
188978561049	26	2
188978561048	16	2
188978561047	33	2
188978561046	0	2
188978561045	0	2
188978561044	24	2
188978561043	32	2
188978561042	24	2
188978561041	0	2
188978561040	18	2
188978561039	0	2
188978561038	21	2
188978561037	0	2
188978561036	22	2
188978561035	0	2
188978561034	16	2
188978561033	0	2
188978561032	794	2
188978561031	28	2
188978561030	167	2
188978561029	17	2
188978561028	335	2
188978561027	16	2
188978561026	1132	2
188978561025	0	2
186831077417	26	2
186831077416	0	2
186831077415	857	2
186831077414	761	2
186831077413	0	2
186831077412	57	2
186831077411	114	2
186831077410	0	2
186831077409	0	2
186831077408	16	2
186831077407	0	2
186831077406	0	2
186831077405	0	2
186831077404	0	2
186831077403	0	2
186831077402	0	2
186831077401	0	2
186831077400	17	2
186831077399	71	2
186831077398	24	2
186831077397	0	2
186831077396	0	2
186831077395	0	2
186831077394	1966	2
186831077393	0	2
186831077392	16	2
186831077391	0	2
186831077390	0	2
186831077389	0	2
186831077388	15	2
186831077387	0	2
186831077386	0	2
186831077385	0	2
186831077384	0	2
186831077383	15	2
186831077382	16	2
186831077381	0	2
186831077380	62	2
186831077379	0	2
186831077378	700	2
186831077377	0	2
184683593770	37	2
184683593769	0	2
184683593768	0	2
184683593767	314	2
184683593766	25	2
184683593765	0	2
184683593764	0	2
184683593763	39	2
184683593762	0	2
184683593761	577	2
184683593760	45	2
184683593759	557	2
184683593758	17	2
184683593757	0	2
184683593756	0	2
184683593755	30	2
184683593754	0	2
184683593753	0	2
184683593752	137	2
184683593751	0	2
184683593750	34	2
184683593749	35	2
184683593748	68	2
184683593747	27	2
184683593746	0	2
184683593745	0	2
184683593744	47	2
184683593743	0	2
184683593742	46	2
184683593741	0	2
184683593740	0	2
184683593739	16	2
